player_id,pa,home_run,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent,meatball_percent,edge_percent
425794,484,20,89,12.9,11.1,38.8,7.3,42.9
425844,593,25,89.6,11.9,7.7,38.8,7.8,42.4
434378,669,18,90,18.8,8.2,41.3,8.1,44.8
446372,257,17,89,19.4,12.1,40.5,8.1,42.8
448179,660,23,89.4,14.3,10.1,39.9,8.3,43.5
450203,716,14,88.9,9.9,7.8,39.1,6.7,41.2
453268,232,5,87.1,16.9,10.2,31.3,9.4,39
453286,621,28,88.5,20.2,8.5,36.9,7.5,43.9
456501,218,17,88.2,16.9,10.6,36.6,4.3,46.7
458681,808,44,88.7,17,10.4,39.3,6.8,42.3
471911,417,18,91.5,8.7,10.7,48.2,6.9,42.4
472610,267,6,87.1,-1.1,4.9,36.4,6.8,38.4
477132,523,19,89,11.8,9,39.1,7,41.3
489119,490,16,87.3,10.8,7.6,31.3,6.2,46.6
489446,254,9,90.6,16.8,10.6,40.2,5.5,41.4
493603,261,7,88.6,7.2,3.7,40.7,7.2,39.7
500779,319,5,88.1,11.9,5.1,32.5,5.2,43.2
502043,807,23,89.7,8.3,7.6,44.5,6,41.6
502085,269,7,89.3,15.2,6.1,37.4,8.3,39.9
502171,646,19,89.8,1.3,7,43.4,5.4,44.2
502624,372,17,87.4,16.3,8.2,31.7,6.4,41.9
506433,573,18,88.4,13.7,6.8,38.2,8.7,41.9
518397,208,2,90.4,-0.6,4.2,33.9,9.1,40.3
518489,239,3,89.5,12.8,3.8,42.5,7.8,41
518585,279,6,89.1,17,10,41.3,7.1,39.7
518617,243,3,84.6,12.4,5,27.1,7.3,41.9
518876,721,20,89.6,11.8,7.8,41.8,6.4,46.1
518886,278,10,90.1,18.3,10.5,46.7,9.6,41.2
519043,218,7,88.4,16.4,7.9,36.7,7.8,43
519151,268,8,91.3,6.7,9,43.5,7,40.4
519242,425,15,87.9,15.6,8.4,34.6,7.5,45.6
519293,226,5,88.2,20.4,7.8,38.3,8.2,43
527048,608,21,89,10.9,7.6,37.2,6,46.9
527054,288,13,89.8,14.7,10,42.1,8.1,43.9
541640,274,11,89.7,10,8.4,43.5,9.5,42
542585,267,10,90.1,14.3,9.6,44.6,7.5,42.4
542881,629,20,87,19.1,8.2,32.3,6.8,42.8
