player_id,year,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_contact_percent
425794,2023,62.3,8.6,21.7,74
425844,2023,66.4,10.5,27.9,67.1
434378,2023,67.9,16.5,30.7,63.9
446372,2023,69.3,13.7,30.2,63.5
448179,2023,63.7,13.7,25,63.3
450203,2023,60.7,18.5,28.2,43.5
453268,2023,63.2,16.6,17.6,60.7
453286,2023,70.9,20.9,30.3,52.9
456501,2023,73.1,15.9,33.5,74
458681,2023,74.1,22,28.3,54.9
471911,2023,69.4,14,28.1,53.3
472610,2023,68.8,15.2,28.5,52.6
477132,2023,69.3,17.8,30.7,49.8
489119,2023,64.7,13.8,26.7,69.5
489446,2023,67.7,20.9,27.9,50.3
493603,2023,58.6,16.1,26.7,54.2
500779,2023,65.5,12.4,30.1,63
502043,2023,65.9,15.6,27.8,54.7
502085,2023,62.2,22.3,28.7,50.6
502171,2023,61.3,12.8,30.5,62.7
502624,2023,69.8,17.7,25.2,67.9
506433,2023,64.4,17.3,27.2,55.5
518397,2023,72.4,10.9,30.8,56
518489,2023,70.7,17.6,31.9,58.3
518585,2023,70.6,23.5,31.1,44.5
518617,2023,58.5,23.4,23.1,65.8
518876,2023,68.3,18.1,32.9,57.1
518886,2023,63.4,25.2,29.1,46.8
519043,2023,71.5,21.2,34.9,57.1
519151,2023,67.7,15.3,35,39.2
519242,2023,63.6,21.6,33.6,55.2
519293,2023,69.2,18.7,33.7,51
527048,2023,65,11.8,28.1,70.8
527054,2023,68.9,16,27.1,65.8
541640,2023,73.7,14.6,26.1,60.7
542585,2023,70.1,20.6,25.3,60.8
542881,2023,72.1,21.1,29.5,57.2
542888,2023,71.2,21.5,34.7,62.9
543037,2023,70.5,19.4,29.9,57.9
543056,2023,62.4,20.5,33.9,55.4
543101,2023,67.4,11,27.2,57.6
543135,2023,70,18.8,28.6,57.3
543243,2023,67.5,15,28.4,47.7
543272,2023,62.3,12.2,28.1,54
543294,2023,62,13.7,33.9,67.5
543475,2023,69.6,12,28.5,60.8
543507,2023,63.3,17.7,25.4,62
543518,2023,64.8,20.5,31.8,45.8
543521,2023,67.8,19.4,27.8,58.8
543859,2023,68.9,19.7,29.4,61.8
547179,2023,68.6,15.1,30.1,63.1
547943,2023,65.7,17.8,30,70.7
547973,2023,64.9,35.4,23.4,37.7
548384,2023,61.6,17.5,28.3,49.3
548389,2023,70.1,20.3,26.1,67.6
554340,2023,67.1,23.4,29.9,50.9
554430,2023,70.6,20.2,32.1,52.9
570632,2023,68.7,16.7,30.1,69.2
571510,2023,68.8,22.2,32.1,51.3
571578,2023,65.4,11.6,27.1,56.1
571656,2023,66.9,22.9,28.9,53.8
571670,2023,63.4,18.2,30,64.9
571760,2023,68.3,18.6,30.5,57.7
571882,2023,68.7,18.6,28.9,55.5
571901,2023,66.7,15.8,32.4,65.4
571927,2023,66.3,19,27.8,58
571945,2023,68,13.3,27.5,73
571948,2023,56.4,16.2,29.6,70.3
572020,2023,70.7,18.7,29.3,51
572403,2023,65.3,21.3,28.2,48.7
572955,2023,62.4,17.6,33.3,41.2
573124,2023,55.6,18.5,27.7,56.5
573186,2023,66.6,12.9,26.8,57.5
579328,2023,67,18.5,29.6,49.4
592094,2023,64.1,30,29,56.6
592332,2023,68.2,19.9,32.6,54
592351,2023,69.2,17,32.1,52.7
592767,2023,64.4,17.9,31.8,57.3
592773,2023,76.9,24.1,27.4,50.4
592789,2023,68.4,14.1,26,69.9
592791,2023,67.9,17.1,29.2,65.8
592836,2023,63.7,13.5,27.4,64.8
592866,2023,69,12.5,28.1,67.1
593334,2023,69.1,21.2,33.6,51.2
593576,2023,71.5,25.3,31.6,58
593958,2023,67.7,18.1,27.9,61
593974,2023,70.3,17.2,32.5,53.1
594580,2023,61.2,16.8,26.5,63.1
594835,2023,65.2,12.8,31.8,64.8
594902,2023,64.7,14.2,24.5,60.1
595345,2023,68.4,24.1,26.7,52.9
596001,2023,61.8,13.9,31.8,47.5
596112,2023,68.1,29,41.3,28.4
596133,2023,68.9,17.8,24.9,66.8
596295,2023,67.9,14.3,24.2,65
600917,2023,72.2,24.2,31.6,46.7
600921,2023,68.5,17,32.1,60.7
